Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1764190191,2025-11-26T20:49:51Z,UBT795,"51.155571,-0.169917",0,0,165
1764190253,2025-11-26T20:50:53Z,UBT795,"51.155777,-0.17001",0,2,165
1764190271,2025-11-26T20:51:11Z,UBT795,"51.155983,-0.170121",0,2,182
1764190288,2025-11-26T20:51:28Z,UBT795,"51.156197,-0.170174",0,3,210
1764190309,2025-11-26T20:51:49Z,UBT795,"51.156406,-0.169983",0,2,236
1764190327,2025-11-26T20:52:07Z,UBT795,"51.156521,-0.169754",0,2,253
1764190659,2025-11-26T20:57:39Z,UBT795,"51.156498,-0.169973",0,6,255
1764190666,2025-11-26T20:57:46Z,UBT795,"51.156452,-0.170326",0,7,255
1764190674,2025-11-26T20:57:54Z,UBT795,"51.156395,-0.170784",0,8,255
1764190681,2025-11-26T20:58:01Z,UBT795,"51.156322,-0.171223",0,9,255
1764190689,2025-11-26T20:58:09Z,UBT795,"51.156254,-0.171776",0,10,255
1764190697,2025-11-26T20:58:17Z,UBT795,"51.156166,-0.172311",0,8,253
1764190705,2025-11-26T20:58:25Z,UBT795,"51.156109,-0.172664",0,6,253
1764190711,2025-11-26T20:58:31Z,UBT795,"51.156055,-0.172939",0,7,250
1764190717,2025-11-26T20:58:37Z,UBT795,"51.15593,-0.173149",0,7,230
1764190724,2025-11-26T20:58:44Z,UBT795,"51.155697,-0.173202",0,7,194
1764190732,2025-11-26T20:58:52Z,UBT795,"51.155464,-0.173092",0,6,171
1764190739,2025-11-26T20:58:59Z,UBT795,"51.155254,-0.173035",0,6,168
1764190747,2025-11-26T20:59:07Z,UBT795,"51.155045,-0.17296",0,6,165
1764190755,2025-11-26T20:59:15Z,UBT795,"51.154827,-0.172886",0,6,165
1764190763,2025-11-26T20:59:23Z,UBT795,"51.15461,-0.172812",0,5,165
1764190773,2025-11-26T20:59:33Z,UBT795,"51.154392,-0.172729",0,5,165
1764190781,2025-11-26T20:59:41Z,UBT795,"51.154182,-0.172653",0,5,165
1764190789,2025-11-26T20:59:49Z,UBT795,"51.15398,-0.172589",0,5,165
1764190799,2025-11-26T20:59:59Z,UBT795,"51.153751,-0.17252",0,5,165
1764190809,2025-11-26T21:00:09Z,UBT795,"51.153534,-0.172441",0,5,165
1764190818,2025-11-26T21:00:18Z,UBT795,"51.153214,-0.172329",0,8,165
1764190826,2025-11-26T21:00:26Z,UBT795,"51.153008,-0.172253",0,6,165
1764190836,2025-11-26T21:00:36Z,UBT795,"51.152752,-0.172081",0,5,154
1764190850,2025-11-26T21:00:50Z,UBT795,"51.152611,-0.171852",0,3,140
1764190859,2025-11-26T21:00:59Z,UBT795,"51.152584,-0.171643",0,3,115
1764190866,2025-11-26T21:01:06Z,UBT795,"51.152607,-0.17142",0,4,95
1764190873,2025-11-26T21:01:13Z,UBT795,"51.152641,-0.17116",0,6,84
1764190879,2025-11-26T21:01:19Z,UBT795,"51.152668,-0.170918",0,6,78
1764190891,2025-11-26T21:01:31Z,UBT795,"51.152718,-0.170555",0,3,75
1764190901,2025-11-26T21:01:41Z,UBT795,"51.152744,-0.170344",0,3,75
1764190911,2025-11-26T21:01:51Z,UBT795,"51.152775,-0.170116",0,3,75
1764190922,2025-11-26T21:02:02Z,UBT795,"51.152813,-0.16988",0,2,75
1764190933,2025-11-26T21:02:13Z,UBT795,"51.152832,-0.169678",0,3,75
1764190948,2025-11-26T21:02:28Z,UBT795,"51.15287,-0.169472",0,0,75
1764191142,2025-11-26T21:05:42Z,UBT795,"51.152889,-0.169258",0,1,75
1764191153,2025-11-26T21:05:53Z,UBT795,"51.152927,-0.169029",0,4,75
1764191161,2025-11-26T21:06:01Z,UBT795,"51.15295,-0.168766",0,5,78
1764191167,2025-11-26T21:06:07Z,UBT795,"51.15295,-0.168533",0,4,87
1764191178,2025-11-26T21:06:18Z,UBT795,"51.152832,-0.168304",0,4,115
1764191190,2025-11-26T21:06:30Z,UBT795,"51.152622,-0.16819",0,3,149
1764191207,2025-11-26T21:06:47Z,UBT795,"51.152401,-0.168095",0,5,160
1764191215,2025-11-26T21:06:55Z,UBT795,"51.15218,-0.168037",0,8,165
1764191220,2025-11-26T21:07:00Z,UBT795,"51.151966,-0.16795",0,11,165
1764191224,2025-11-26T21:07:04Z,UBT795,"51.151714,-0.167885",0,12,168
1764191229,2025-11-26T21:07:09Z,UBT795,"51.151482,-0.167847",0,9,171
1764191237,2025-11-26T21:07:17Z,UBT795,"51.151245,-0.167987",0,7,199
1764191242,2025-11-26T21:07:22Z,UBT795,"51.151165,-0.168247",0,7,230
1764191247,2025-11-26T21:07:27Z,UBT795,"51.151134,-0.168552",0,10,250
1764191252,2025-11-26T21:07:32Z,UBT795,"51.151085,-0.169008",0,15,255
1764191259,2025-11-26T21:07:39Z,UBT795,"51.150959,-0.169945",0,31,255
1764191261,2025-11-26T21:07:41Z,UBT795,"51.150856,-0.170696",0,40,255
1764191262,2025-11-26T21:07:42Z,UBT795,"51.150799,-0.171142",0,50,255
1764191264,2025-11-26T21:07:44Z,UBT795,"51.150692,-0.171871",0,54,255
1764191265,2025-11-26T21:07:45Z,UBT795,"51.150658,-0.172157",0,59,255
1764191267,2025-11-26T21:07:47Z,UBT795,"51.150478,-0.173406",0,72,255
1764191269,2025-11-26T21:07:49Z,UBT795,"51.150341,-0.174465",0,76,255
1764191270,2025-11-26T21:07:50Z,UBT795,"51.150261,-0.175002",0,82,255
1764191272,2025-11-26T21:07:52Z,UBT795,"51.150192,-0.175591",0,86,255
1764191273,2025-11-26T21:07:53Z,UBT795,"51.149963,-0.17734",0,95,257
1764191275,2025-11-26T21:07:55Z,UBT795,"51.14978,-0.178676",25,107,257
1764191277,2025-11-26T21:07:57Z,UBT795,"51.149456,-0.18074",50,115,257
1764191281,2025-11-26T21:08:01Z,UBT795,"51.149094,-0.18365",25,119,257
1764191289,2025-11-26T21:08:09Z,UBT795,"51.147781,-0.192947",25,146,257
1764191296,2025-11-26T21:08:16Z,UBT795,"51.146713,-0.200946",75,177,258
1764191303,2025-11-26T21:08:23Z,UBT795,"51.145569,-0.210225",325,177,257
1764191312,2025-11-26T21:08:32Z,UBT795,"51.143963,-0.221024",725,177,255
1764191318,2025-11-26T21:08:38Z,UBT795,"51.142567,-0.229568",1100,175,255
1764191327,2025-11-26T21:08:47Z,UBT795,"51.140938,-0.239639",1400,173,255
1764191333,2025-11-26T21:08:53Z,UBT795,"51.139664,-0.247786",1525,177,255
1764191341,2025-11-26T21:09:01Z,UBT795,"51.138004,-0.258255",1650,184,256
1764191349,2025-11-26T21:09:09Z,UBT795,"51.136375,-0.269547",1750,190,257
1764191356,2025-11-26T21:09:16Z,UBT795,"51.13512,-0.278397",1875,194,257
1764191365,2025-11-26T21:09:25Z,UBT795,"51.133484,-0.290395",2075,197,258
1764191371,2025-11-26T21:09:31Z,UBT795,"51.132294,-0.299526",2250,199,258
1764191379,2025-11-26T21:09:39Z,UBT795,"51.130791,-0.310898",2475,200,258
1764191388,2025-11-26T21:09:48Z,UBT795,"51.129135,-0.323726",2725,202,258
1764191394,2025-11-26T21:09:54Z,UBT795,"51.127998,-0.332565",2900,201,258
1764191402,2025-11-26T21:10:02Z,UBT795,"51.126434,-0.344956",3150,202,258
1764191411,2025-11-26T21:10:11Z,UBT795,"51.124924,-0.35661",3425,202,258
1764191417,2025-11-26T21:10:17Z,UBT795,"51.123734,-0.365592",3625,202,258
1764191425,2025-11-26T21:10:25Z,UBT795,"51.121994,-0.378063",3900,200,257
1764191433,2025-11-26T21:10:33Z,UBT795,"51.120255,-0.389866",4150,201,255
1764191435,2025-11-26T21:10:35Z,UBT795,"51.119759,-0.392838",4225,201,253
1764191437,2025-11-26T21:10:37Z,UBT795,"51.119198,-0.395355",4275,202,250
1764191439,2025-11-26T21:10:39Z,UBT795,"51.118454,-0.398102",4325,203,245
1764191442,2025-11-26T21:10:42Z,UBT795,"51.117508,-0.400927",4375,204,240
1764191444,2025-11-26T21:10:44Z,UBT795,"51.116264,-0.403824",4425,205,235
1764191446,2025-11-26T21:10:46Z,UBT795,"51.115334,-0.405731",4450,208,231
1764191448,2025-11-26T21:10:48Z,UBT795,"51.113937,-0.408127",4500,210,226
1764191450,2025-11-26T21:10:50Z,UBT795,"51.112167,-0.410767",4550,212,222
1764191452,2025-11-26T21:10:52Z,UBT795,"51.110401,-0.412827",4600,214,217
1764191454,2025-11-26T21:10:54Z,UBT795,"51.10881,-0.414511",4625,218,211
1764191456,2025-11-26T21:10:56Z,UBT795,"51.106956,-0.416183",4675,220,207
1764191458,2025-11-26T21:10:58Z,UBT795,"51.105328,-0.417404",4700,220,205
1764191460,2025-11-26T21:11:00Z,UBT795,"51.103184,-0.418701",4750,223,199
1764191462,2025-11-26T21:11:02Z,UBT795,"51.101486,-0.419559",4800,226,197
1764191464,2025-11-26T21:11:04Z,UBT795,"51.099426,-0.420301",4825,228,192
1764191466,2025-11-26T21:11:06Z,UBT795,"51.096806,-0.420914",4875,230,186
1764191468,2025-11-26T21:11:08Z,UBT795,"51.094345,-0.421118",4950,233,182
1764191470,2025-11-26T21:11:10Z,UBT795,"51.092606,-0.421044",4975,235,179
1764191472,2025-11-26T21:11:12Z,UBT795,"51.08987,-0.420837",5050,235,176
1764191475,2025-11-26T21:11:15Z,UBT795,"51.087681,-0.420532",5100,236,174
1764191477,2025-11-26T21:11:17Z,UBT795,"51.085495,-0.420227",5150,237,174
1764191479,2025-11-26T21:11:19Z,UBT795,"51.083305,-0.419846",5200,238,173
1764191481,2025-11-26T21:11:21Z,UBT795,"51.081352,-0.419464",5225,239,173
1764191483,2025-11-26T21:11:23Z,UBT795,"51.078884,-0.41893",5275,242,172
1764191485,2025-11-26T21:11:25Z,UBT795,"51.076584,-0.418445",5300,242,171
1764191487,2025-11-26T21:11:27Z,UBT795,"51.073883,-0.417703",5325,245,170
1764191489,2025-11-26T21:11:29Z,UBT795,"51.071762,-0.417099",5350,248,169
1764191491,2025-11-26T21:11:31Z,UBT795,"51.069397,-0.416293",5375,250,168
1764191493,2025-11-26T21:11:33Z,UBT795,"51.067013,-0.415421",5400,252,167
1764191495,2025-11-26T21:11:35Z,UBT795,"51.064732,-0.414581",5425,254,166
1764191498,2025-11-26T21:11:38Z,UBT795,"51.062218,-0.413513",5450,256,165
1764191500,2025-11-26T21:11:40Z,UBT795,"51.060013,-0.412581",5475,257,164
1764191502,2025-11-26T21:11:42Z,UBT795,"51.057037,-0.411171",5525,260,164
1764191504,2025-11-26T21:11:44Z,UBT795,"51.054585,-0.41008",5575,261,164
1764191506,2025-11-26T21:11:46Z,UBT795,"51.052723,-0.409241",5575,264,164
1764191521,2025-11-26T21:12:01Z,UBT795,"51.034836,-0.401521",5775,276,164
1764191533,2025-11-26T21:12:13Z,UBT795,"51.018646,-0.394363",5975,285,164
1764191546,2025-11-26T21:12:26Z,UBT795,"51.002609,-0.387194",6325,289,164
1764191559,2025-11-26T21:12:39Z,UBT795,"50.98592,-0.379791",6750,290,164
1764191574,2025-11-26T21:12:54Z,UBT795,"50.966972,-0.371323",7225,293,164
1764191586,2025-11-26T21:13:06Z,UBT795,"50.950562,-0.364033",7625,296,164
1764191599,2025-11-26T21:13:19Z,UBT795,"50.933174,-0.356369",7975,299,164
1764191614,2025-11-26T21:13:34Z,UBT795,"50.913578,-0.3479",8400,302,164
1764191626,2025-11-26T21:13:46Z,UBT795,"50.897003,-0.340729",8750,305,164
1764191641,2025-11-26T21:14:01Z,UBT795,"50.877033,-0.332108",9200,307,164
1764191653,2025-11-26T21:14:13Z,UBT795,"50.859512,-0.324542",9525,312,164
1764191666,2025-11-26T21:14:26Z,UBT795,"50.841469,-0.316925",9875,314,165
1764191681,2025-11-26T21:14:41Z,UBT795,"50.821079,-0.30838",10200,320,165
1764191694,2025-11-26T21:14:54Z,UBT795,"50.802086,-0.300369",10300,332,164
1764191707,2025-11-26T21:15:07Z,UBT795,"50.78244,-0.291977",10425,344,164
1764191719,2025-11-26T21:15:19Z,UBT795,"50.762421,-0.283418",10575,352,164
1764191734,2025-11-26T21:15:34Z,UBT795,"50.739567,-0.273819",10775,362,165
1764191746,2025-11-26T21:15:46Z,UBT795,"50.719162,-0.265231",10925,369,164
1764191759,2025-11-26T21:15:59Z,UBT795,"50.697903,-0.256195",11100,377,164
1764191774,2025-11-26T21:16:14Z,UBT795,"50.672249,-0.245438",11275,388,165
1764191786,2025-11-26T21:16:26Z,UBT795,"50.65036,-0.236206",11400,395,165
1764191799,2025-11-26T21:16:39Z,UBT795,"50.627838,-0.226665",11550,404,164
1764191814,2025-11-26T21:16:54Z,UBT795,"50.600281,-0.214976",11700,412,164
1764191828,2025-11-26T21:17:08Z,UBT795,"50.573048,-0.203618",11925,422,164
1764191841,2025-11-26T21:17:21Z,UBT795,"50.549011,-0.193489",12150,425,164
1764191872,2025-11-26T21:17:52Z,UBT795,"50.488541,-0.16812",12800,436,165
1764191904,2025-11-26T21:18:24Z,UBT795,"50.425941,-0.142228",13500,442,165
1764191936,2025-11-26T21:18:56Z,UBT795,"50.363144,-0.11595",14175,447,164
1764191969,2025-11-26T21:19:29Z,UBT795,"50.298855,-0.08893",14875,452,164
1764192001,2025-11-26T21:20:01Z,UBT795,"50.232704,-0.060796",15575,458,164
1764192031,2025-11-26T21:20:31Z,UBT795,"50.171127,-0.034332",16225,461,164
1764192064,2025-11-26T21:21:04Z,UBT795,"50.103336,-0.005642",16825,468,164
1764192095,2025-11-26T21:21:35Z,UBT795,"50.036087,0.022768",17475,472,164
1764192128,2025-11-26T21:22:08Z,UBT795,"49.968243,0.051369",18125,475,164
1764192160,2025-11-26T21:22:40Z,UBT795,"49.898895,0.080374",18725,480,164
1764192193,2025-11-26T21:23:13Z,UBT795,"49.829796,0.108972",19325,484,165
1764192223,2025-11-26T21:23:43Z,UBT795,"49.763763,0.136751",19875,488,164
1764192256,2025-11-26T21:24:16Z,UBT795,"49.694,0.165834",21550,462,164
1764192287,2025-11-26T21:24:47Z,UBT795,"49.631901,0.191593",23050,442,164
1764192318,2025-11-26T21:25:18Z,UBT795,"49.570126,0.217277",23200,452,164
1764192349,2025-11-26T21:25:49Z,UBT795,"49.505886,0.242738",23275,467,167
1764192382,2025-11-26T21:26:22Z,UBT795,"49.434036,0.264033",23350,482,169
1764192414,2025-11-26T21:26:54Z,UBT795,"49.36311,0.284127",23450,495,169
1764192445,2025-11-26T21:27:25Z,UBT795,"49.294235,0.30318",23625,504,169
1764192477,2025-11-26T21:27:57Z,UBT795,"49.218292,0.324097",23800,514,169
1764192510,2025-11-26T21:28:30Z,UBT795,"49.142078,0.34513",23950,524,169
1764192542,2025-11-26T21:29:02Z,UBT795,"49.064117,0.366493",24100,531,169
1764192575,2025-11-26T21:29:35Z,UBT795,"48.98497,0.388184",24375,536,169
1764192605,2025-11-26T21:30:05Z,UBT795,"48.911041,0.408255",24675,539,169
1764192637,2025-11-26T21:30:37Z,UBT795,"48.832088,0.429912",25000,542,169
1764192668,2025-11-26T21:31:08Z,UBT795,"48.755905,0.450721",25325,544,169
1764192699,2025-11-26T21:31:39Z,UBT795,"48.678326,0.471762",25600,546,169
1764192732,2025-11-26T21:32:12Z,UBT795,"48.597511,0.493662",25875,549,169
1764192763,2025-11-26T21:32:43Z,UBT795,"48.518463,0.514808",26150,553,169
1764192795,2025-11-26T21:33:15Z,UBT795,"48.43779,0.536523",26350,558,169
1764192827,2025-11-26T21:33:47Z,UBT795,"48.358185,0.558062",26575,561,169
1764192858,2025-11-26T21:34:18Z,UBT795,"48.276161,0.580107",26825,564,169
1764192890,2025-11-26T21:34:50Z,UBT795,"48.1926,0.602441",27100,567,169
1764192922,2025-11-26T21:35:22Z,UBT795,"48.111736,0.623826",27400,570,170
1764192954,2025-11-26T21:35:54Z,UBT795,"48.029617,0.645447",27575,574,170
1764192984,2025-11-26T21:36:24Z,UBT795,"47.949596,0.666504",27825,577,170
1764193016,2025-11-26T21:36:56Z,UBT795,"47.864033,0.688688",28050,581,170
1764193048,2025-11-26T21:37:28Z,UBT795,"47.778286,0.707773",28450,583,172
1764193081,2025-11-26T21:38:01Z,UBT795,"47.69133,0.723038",28875,583,173
1764193112,2025-11-26T21:38:32Z,UBT795,"47.607578,0.73707",29300,582,173
1764193145,2025-11-26T21:39:05Z,UBT795,"47.520851,0.751366",29650,583,173
1764193175,2025-11-26T21:39:35Z,UBT795,"47.438221,0.76531",29975,584,173
1764193207,2025-11-26T21:40:07Z,UBT795,"47.351864,0.779607",30450,583,173
1764193239,2025-11-26T21:40:39Z,UBT795,"47.267349,0.793556",31075,578,173
1764193271,2025-11-26T21:41:11Z,UBT795,"47.183441,0.807083",31850,569,173
1764193304,2025-11-26T21:41:44Z,UBT795,"47.098892,0.820747",32625,561,173
1764193337,2025-11-26T21:42:17Z,UBT795,"47.013611,0.834755",33150,558,173
1764193370,2025-11-26T21:42:50Z,UBT795,"46.929916,0.848553",33550,556,173
1764193400,2025-11-26T21:43:20Z,UBT795,"46.851849,0.86174",33900,555,173
1764193431,2025-11-26T21:43:51Z,UBT795,"46.772415,0.874753",34225,556,173
1764193464,2025-11-26T21:44:24Z,UBT795,"46.689892,0.887833",34525,556,173
1764193494,2025-11-26T21:44:54Z,UBT795,"46.61142,0.900209",34800,556,173
1764193527,2025-11-26T21:45:27Z,UBT795,"46.527603,0.913473",35000,557,173
1764193560,2025-11-26T21:46:00Z,UBT795,"46.444611,0.922577",34975,559,177
1764193592,2025-11-26T21:46:32Z,UBT795,"46.360722,0.921753",35000,561,182
1764193624,2025-11-26T21:47:04Z,UBT795,"46.276566,0.913138",34975,561,184
1764193657,2025-11-26T21:47:37Z,UBT795,"46.192436,0.904312",34975,561,184
1764193689,2025-11-26T21:48:09Z,UBT795,"46.109062,0.895592",34975,562,184
1764193721,2025-11-26T21:48:41Z,UBT795,"46.026012,0.886871",35000,564,184
1764193753,2025-11-26T21:49:13Z,UBT795,"45.941658,0.878426",34975,565,184
1764193785,2025-11-26T21:49:45Z,UBT795,"45.858749,0.869774",35000,565,184
1764193817,2025-11-26T21:50:17Z,UBT795,"45.776138,0.861422",34975,565,183
1764193850,2025-11-26T21:50:50Z,UBT795,"45.690834,0.852402",35000,566,184
1764193880,2025-11-26T21:51:20Z,UBT795,"45.611115,0.844272",34975,567,184
1764193912,2025-11-26T21:51:52Z,UBT795,"45.527298,0.835811",34975,569,184
1764193944,2025-11-26T21:52:24Z,UBT795,"45.441921,0.827056",34975,570,184
1764193976,2025-11-26T21:52:56Z,UBT795,"45.358475,0.818416",35000,571,184
1764194008,2025-11-26T21:53:28Z,UBT795,"45.275345,0.809849",34975,570,184
1764194040,2025-11-26T21:54:00Z,UBT795,"45.19075,0.801283",35000,569,184
1764194072,2025-11-26T21:54:32Z,UBT795,"45.10556,0.792716",35000,570,184
1764194104,2025-11-26T21:55:04Z,UBT795,"45.02216,0.78425",35000,571,184
1764194136,2025-11-26T21:55:36Z,UBT795,"44.937901,0.775675",34975,571,184
1764194168,2025-11-26T21:56:08Z,UBT795,"44.855484,0.767474",34975,570,184
1764194200,2025-11-26T21:56:40Z,UBT795,"44.770203,0.758907",34975,570,183
1764194231,2025-11-26T21:57:11Z,UBT795,"44.687775,0.750554",35000,571,184
1764194263,2025-11-26T21:57:43Z,UBT795,"44.602398,0.741979",34975,570,184
1764194295,2025-11-26T21:58:15Z,UBT795,"44.518185,0.733806",34975,571,184
1764194328,2025-11-26T21:58:48Z,UBT795,"44.433609,0.72549",35000,572,184
1764194361,2025-11-26T21:59:21Z,UBT795,"44.347458,0.71712",34975,573,183
1764194393,2025-11-26T21:59:53Z,UBT795,"44.261356,0.708618",35000,575,184
1764194425,2025-11-26T22:00:25Z,UBT795,"44.176163,0.700315",35000,576,184
1764194458,2025-11-26T22:00:58Z,UBT795,"44.089809,0.691681",35000,576,184
1764194488,2025-11-26T22:01:28Z,UBT795,"44.007462,0.683572",35000,576,184
1764194520,2025-11-26T22:02:00Z,UBT795,"43.924595,0.675528",34975,576,183
1764194553,2025-11-26T22:02:33Z,UBT795,"43.83609,0.666908",34975,576,183
1764194585,2025-11-26T22:03:05Z,UBT795,"43.751888,0.658787",34975,575,183
1764194617,2025-11-26T22:03:37Z,UBT795,"43.666977,0.650678",34975,575,183
1764194649,2025-11-26T22:04:09Z,UBT795,"43.580612,0.642445",34975,577,183
1764194680,2025-11-26T22:04:40Z,UBT795,"43.498901,0.634524",35000,580,184
1764194712,2025-11-26T22:05:12Z,UBT795,"43.412247,0.626157",35000,580,184
1764194743,2025-11-26T22:05:43Z,UBT795,"43.329567,0.618177",34975,579,184
1764194775,2025-11-26T22:06:15Z,UBT795,"43.243881,0.610124",34975,578,183
1764194807,2025-11-26T22:06:47Z,UBT795,"43.158905,0.602221",35000,577,183
1764194838,2025-11-26T22:07:18Z,UBT795,"43.075203,0.594504",34975,579,183
1764194870,2025-11-26T22:07:50Z,UBT795,"42.990601,0.586427",35000,584,183
1764194903,2025-11-26T22:08:23Z,UBT795,"42.902962,0.578156",34975,584,183
1764194934,2025-11-26T22:08:54Z,UBT795,"42.817677,0.570177",34975,586,183
1764194966,2025-11-26T22:09:26Z,UBT795,"42.730728,0.560989",35000,587,185
1764194999,2025-11-26T22:09:59Z,UBT795,"42.642929,0.545009",34975,586,189
1764195030,2025-11-26T22:10:30Z,UBT795,"42.558662,0.523703",35000,577,190
1764195061,2025-11-26T22:11:01Z,UBT795,"42.478638,0.503124",35025,570,190
1764195094,2025-11-26T22:11:34Z,UBT795,"42.394749,0.48589",34925,560,187
1764195126,2025-11-26T22:12:06Z,UBT795,"42.311794,0.47369",35025,564,185
1764195158,2025-11-26T22:12:38Z,UBT795,"42.227955,0.465769",34975,559,183
1764195190,2025-11-26T22:13:10Z,UBT795,"42.145138,0.457785",35000,562,184
1764195223,2025-11-26T22:13:43Z,UBT795,"42.061295,0.449503",34975,562,184
1764195255,2025-11-26T22:14:15Z,UBT795,"41.976929,0.441513",34975,560,183
1764195288,2025-11-26T22:14:48Z,UBT795,"41.892406,0.433385",35000,560,184
1764195320,2025-11-26T22:15:20Z,UBT795,"41.80838,0.425221",34975,561,184
1764195353,2025-11-26T22:15:53Z,UBT795,"41.72533,0.417417",34975,560,183
1764195385,2025-11-26T22:16:25Z,UBT795,"41.641571,0.409303",35000,565,184
1764195416,2025-11-26T22:16:56Z,UBT795,"41.55909,0.400809",34975,568,184
1764195448,2025-11-26T22:17:28Z,UBT795,"41.475082,0.392636",34975,566,184
1764195480,2025-11-26T22:18:00Z,UBT795,"41.392948,0.384841",34975,564,184
1764195512,2025-11-26T22:18:32Z,UBT795,"41.30999,0.376719",35000,566,184
1764195542,2025-11-26T22:19:02Z,UBT795,"41.230865,0.369141",34975,565,184
1764195574,2025-11-26T22:19:34Z,UBT795,"41.148102,0.361206",35000,563,184
1764195607,2025-11-26T22:20:07Z,UBT795,"41.062565,0.353185",34975,563,184
